ID,Department/Unit Name,Office/Faculty
"126","ALUMNI","SCHOOL REGISTRAR'S OFFICE"
"43","BOARD - RBS","BOARD - RBS"
"89","CAREER AND SKILLS DEVELOPMENT CENTRE","CAREER AND SKILLS DEVELOPMENT CENTRE"
"30","CAREER AND SKILLS DEVELOPMENT CENTRE","CAREER AND SKILLS DEVELOPMENT CENTRE"
"70","CLEANING & TEACHING EQUIPMENT","SCHOOL SECRETARY'S OFFICE"
"112","CONTRACTS MANAGEMENT","PRINCIPAL'S OFFICE"
"78","DEAN OF STUDENTS' OFFICE","DEAN OF STUDENTS' OFFICE"
"26","DEAN OF STUDENTS' OFFICE","DEAN OF STUDENTS' OFFICE"
"75","DEPARTMENT OF ACCOUNTING","FACULTY OF COMMERCE"
"122","DEPARTMENT OF ACCOUNTING AND FINANCE","MUBS REGIONAL CAMPUS-MBALE"
"55","DEPARTMENT OF ACCOUNTING AND FINANCE","MUBS REGIONAL CAMPUS MBARARA"
"84","DEPARTMENT OF ACCOUNTING AND FINANCE","MUBS REGIONAL CAMPUS-JINJA"
"95","DEPARTMENT OF ACCOUNTING AND FINANCE","MUBS REGIONAL CAMPUS-ARUA"
"66","DEPARTMENT OF APPLIED COMPUTING & INFORMATION TECHNOLOGY","FACULTY OF COMPUTING & INFORMATICS"
"87","DEPARTMENT OF AUDITING & TAXATION","FACULTY OF COMMERCE"
"59","DEPARTMENT OF BUSINESS ADMINISTRATION","FACULTY OF BUSINESS ADMINISTRATION"
"50","DEPARTMENT OF BUSINESS LANGUAGES","FACULTY OF TOURISM, HOSPITALITY & LANGUAGES"
"119","DEPARTMENT OF BUSINESS LAW","FACULTY OF COMMERCE"
"91","DEPARTMENT OF COMMUNICATION","FACULTY OF BUSINESS ADMINISTRATION"
"56","DEPARTMENT OF COMPUTER SCIENCE AND ENGINEERING","FACULTY OF COMPUTING & INFORMATICS"
"81","DEPARTMENT OF ECONOMICS","FACULTY OF ECONOMICS, ENERGY AND MANAGEMENT SCIENCE"
"130","DEPARTMENT OF EDUCATION","FACULTY OF VOCATIONAL AND DISTANCE EDUCATION"
"100","DEPARTMENT OF ENERGY SCIENCE AND TECHNOLOGY","FACULTY OF ECONOMICS, ENERGY AND MANAGEMENT SCIENCE"
"98","DEPARTMENT OF ENTREPRENEURSHIP & INNOVATION","FACULTY OF ENTREPRENEURSHIP & SMALL BUSINESS MANAGEMENT"
"92","DEPARTMENT OF FINANCE","FACULTY OF COMMERCE"
"93","DEPARTMENT OF HUMAN RESOURCE MANAGEMENT","FACULTY OF MANAGEMENT"
"54","DEPARTMENT OF INFORMATION SYSTEMS","FACULTY OF COMPUTING & INFORMATICS"
"85","DEPARTMENT OF LEADERSHIP & GOVERNANCE","FACULTY OF MANAGEMENT"
"52","DEPARTMENT OF LEISURE, EVENTS & HOSPITALITY MANAGEMENT","FACULTY OF TOURISM, HOSPITALITY & LANGUAGES"
"76","DEPARTMENT OF MANAGEMENT","FACULTY OF MANAGEMENT"
"104","DEPARTMENT OF MANAGEMENT SCIENCE","FACULTY OF ECONOMICS, ENERGY AND MANAGEMENT SCIENCE"
"106","DEPARTMENT OF MARKETING AND MANAGEMENT","MUBS REGIONAL CAMPUS-ARUA"
"82","DEPARTMENT OF MARKETING AND MANAGEMENT","MUBS REGIONAL CAMPUS-JINJA"
"53","DEPARTMENT OF MARKETING AND MANAGEMENT","MUBS REGIONAL CAMPUS MBARARA"
"80","DEPARTMENT OF MARKETING AND MANAGEMENT","MUBS REGIONAL CAMPUS-MBALE"
"69","DEPARTMENT OF MARKETING AND MEDIA STUDIES","FACULTY OF MARKETING & INTERNATIONAL BUSINESS"
"83","DEPARTMENT OF PROCUREMENT & SUPPLY CHAIN MANAGEMENT","FACULTY OF PROCUREMENT & LOGISTICS MANAGEMENT"
"114","DEPARTMENT OF SMALL BUSINESS MGT","FACULTY OF ENTREPRENEURSHIP & SMALL BUSINESS MANAGEMENT"
"74","DEPARTMENT OF TOURISM MANAGEMENT","FACULTY OF TOURISM, HOSPITALITY & LANGUAGES"
"103","DEPARTMENT OF TRANSPORT AND LOGISTICS MANAGEMENT","FACULTY OF PROCUREMENT & LOGISTICS MANAGEMENT"
"39","DEPUTY PRINCIPAL'S OFFICE","DEPUTY PRINCIPAL'S OFFICE"
"121","DEPUTY PRINCIPAL'S OFFICE","DEPUTY PRINCIPAL'S OFFICE"
"41","DIRECTORATE OF LEGAL AFFAIRS","DIRECTORATE OF LEGAL AFFAIRS"
"125","DIRECTORATE OF LEGAL AFFAIRS","DIRECTORATE OF LEGAL AFFAIRS"
"71","DIRECTORATE OF QUALITY ASSURANCE","DIRECTORATE OF QUALITY ASSURANCE"
"21","DIRECTORATE OF QUALITY ASSURANCE","DIRECTORATE OF QUALITY ASSURANCE"
"63","DISABILITY AND RESOURCE LEARNING CENTRE","DISABILITY AND RESOURCE LEARNING CENTRE"
"15","DISABILITY AND RESOURCE LEARNING CENTRE","DISABILITY AND RESOURCE LEARNING CENTRE"
"64","E-LEARNING","E-LEARNING"
"16","E-LEARNING","E-LEARNING"
"107","ECONOMIC FORUM","FACULTY OF ECONOMICS, ENERGY AND MANAGEMENT SCIENCE"
"60","ENTREPRENEURSHIP, INNOVATION AND INCUBATION CENTRE","ENTREPRENEURSHIP, INNOVATION AND INCUBATION CENTRE"
"13","ENTREPRENEURSHIP, INNOVATION AND INCUBATION CENTRE","ENTREPRENEURSHIP, INNOVATION AND INCUBATION CENTRE"
"129","ENVIRONMENTAL MANAGEMENT UNIT","PRINCIPAL'S OFFICE"
"58","ESTATES AND WORKS","ESTATES AND WORKS"
"11","ESTATES AND WORKS","ESTATES AND WORKS"
"132","EXAMINATIONS UNIT","DIRECTORATE OF QUALITY ASSURANCE"
"88","FACULTY OF BUSINESS ADMINISTRATION","FACULTY OF BUSINESS ADMINISTRATION"
"12","FACULTY OF BUSINESS ADMINISTRATION","FACULTY OF BUSINESS ADMINISTRATION"
"24","FACULTY OF COMMERCE","FACULTY OF COMMERCE"
"124","FACULTY OF COMMERCE","FACULTY OF COMMERCE"
"110","FACULTY OF COMPUTING & INFORMATICS","FACULTY OF COMPUTING & INFORMATICS"
